,Cloudiness (%),Humidity (%),Latitude,Name,Temperature (F),Wind Speed (mph)
118,90,100,50.7,port hardy,279.15,0.54
119,100,85,43.35,zhanaozen,277.63,1.7
120,15,72,28.88,tianpeng,284.88,5.17
121,100,75,-0.6,hithadhoo,301.45,3.85
122,100,72,56.16,karlskrona,278.15,4.1
123,99,77,-8.93,airai,298.07,1.98
124,75,100,38.44,livadia,277.66,4.1
125,100,98,63.93,muyezerskiy,275.91,6.94
126,42,43,-0.86,sorong,307.78,0.71
127,5,18,23.99,constitucion,289.15,5.7
128,20,57,-7.96,kerema,305.02,3.66
129,68,14,-33.21,jamestown,312.56,9.61
130,40,70,-17.53,tiarei,303.15,8.7
131,29,87,-22.95,walvis bay,289.22,3.6
132,1,69,21.35,makakilo city,299.92,7.2
133,100,69,55.25,skaelskor,277.77,5.7
134,1,68,60.79,bethel,246.5,7.7
135,79,69,38.52,ribeira grande,285.82,3.5
136,1,88,47.12,zavetnoye,270.53,2.38
137,47,60,-10.62,samarai,303.39,3.58
138,40,74,-3.71,vila velha,301.56,5.1
139,90,100,49.19,morden,262.74,9.3
140,40,83,16.17,laguna,299.15,0.52
141,100,92,46.27,espanola,270.81,6.3
142,90,92,47.66,torbay,272.56,11.3
143,75,88,36.3,elizabeth city,290.14,2.6
144,86,98,-34.0,kruisfontein,290.46,0.42
145,90,94,59.7,nikolskoye,273.15,6.0
146,75,62,65.28,norman wells,247.15,11.3
147,64,66,14.4,marzuq,285.29,0.71
148,100,67,59.7,arman,262.26,3.53
149,20,76,-41.87,ancud,286.15,2.1
150,100,80,67.8,batagay-alyta,246.51,2.2
151,100,87,-6.87,celendin,288.06,2.08
152,100,88,-15.19,namibe,295.82,3.64
153,0,60,78.22,longyearbyen,261.15,9.8
154,95,59,-45.87,dunedin,289.82,7.6
155,75,77,34.88,havelock,292.35,3.1
156,68,94,-13.71,pisco,293.89,7.7
157,1,55,16.78,pathein,298.48,2.18
158,100,98,-0.13,sao gabriel da cachoeira,296.6,0.97
159,97,85,60.91,narsaq,269.15,1.5
160,90,69,39.95,kodiak,273.77,6.2
161,40,77,63.75,iqaluit,255.27,1.0
162,26,75,37.17,sitka,273.15,4.02
163,100,71,70.86,berlevag,273.95,7.18
164,100,52,32.65,ribeira brava,291.0,2.6
165,100,1,-38.55,necochea,294.82,2.24
166,0,28,27.69,camargo,284.06,2.65
167,90,85,64.56,severodvinsk,268.15,5.0
168,83,53,65.61,tasiilaq,268.15,2.6
169,90,93,39.62,vardo,281.27,3.1
170,80,69,-6.6,finschhafen,302.04,1.75
171,82,87,62.23,klaksvik,279.15,13.9
172,60,76,-39.81,valdivia,284.24,1.7
173,40,48,39.45,saint george,277.68,10.3
174,20,61,50.2,sept-iles,263.85,5.7
175,98,81,18.22,abha,281.67,0.55
176,0,100,43.37,a coruna,280.51,3.1
177,0,85,48.48,nehe,248.23,1.65
178,75,78,16.86,acapulco,301.15,3.1
179,75,87,35.03,fukue,281.44,4.6
180,90,76,58.81,fort nelson,253.15,1.5
181,59,62,-46.43,mar del plata,289.13,2.56
182,65,84,70.62,chokurdakh,238.48,3.16
183,100,94,50.56,husavik,262.3,2.24
184,39,74,-2.57,kavieng,302.26,5.98
185,1,56,33.99,durant,278.46,2.6
186,0,30,-25.24,yulara,308.15,5.7
187,17,83,-21.64,sao joao da barra,297.89,4.78
188,100,44,-34.61,san rafael,300.26,6.9
189,100,81,39.85,alcudia,283.36,0.5
190,27,52,-34.72,port lincoln,298.48,10.21
191,16,60,-6.32,panguna,302.43,2.98
192,90,85,49.72,geraldton,264.15,8.2
193,90,85,42.57,twin falls,269.02,8.2
194,77,94,-34.05,plettenberg bay,292.29,1.76
195,9,67,-4.12,baturaja,302.48,2.02
196,41,73,17.01,salalah,297.15,4.6
197,57,75,-46.13,tuatapere,288.71,8.05
198,97,51,1.51,bongandanga,294.55,0.26
199,90,77,64.86,college,254.36,2.22
200,12,84,5.35,hobyo,297.54,4.44
201,1,87,50.69,lillooet,271.62,1.98
202,0,61,39.7,yongan,253.72,6.32
203,100,76,3.07,butaritari,301.87,5.3
204,20,100,27.71,kathmandu,275.15,1.5
205,41,63,-45.87,comodoro rivadavia,290.15,2.6
206,90,40,-32.25,kwinana,294.82,5.1
207,100,88,14.55,le vauclin,298.61,1.5
208,97,72,-0.42,japura,301.87,1.67
209,75,100,-19.98,cap malheureux,297.88,11.8
210,90,67,50.23,havre-saint-pierre,266.15,6.7
211,64,77,-29.41,la rioja,293.91,2.3
212,40,94,3.63,yatou,299.15,0.47
213,100,40,14.69,gat,295.52,5.1
214,75,100,35.47,platanos,282.43,9.3
215,100,80,53.02,przasnysz,272.37,4.6
216,0,92,48.64,wanning,267.49,1.0
217,43,99,4.27,grand-santi,294.69,0.62
218,46,53,1.61,ouesso,293.96,0.98
219,0,18,9.94,nikki,290.56,2.47
220,0,61,-35.62,ngunguru,298.15,3.13
221,100,99,1.96,calamar,296.13,0.98
222,40,70,-17.73,tautira,303.15,8.7
223,93,67,7.42,kalmunai,299.99,3.59
224,100,87,44.96,ordzhonikidze,279.1,8.87
225,24,64,8.92,calabozo,298.33,2.5
226,100,94,68.05,ostrovnoy,274.01,6.08
227,0,63,32.86,birjand,271.15,2.1
228,0,25,8.05,kintampo,296.13,0.81
229,100,94,66.77,zhigansk,240.67,9.11
230,52,81,52.47,broome,277.82,4.6
231,51,23,10.11,kaele,291.05,4.65
232,20,78,54.13,meadow lake,264.15,4.1
233,0,60,64.42,provideniya,261.15,3.0
234,43,84,42.67,botlikh,266.38,4.57
235,0,76,50.57,alihe,248.52,2.25
236,0,24,9.46,korhogo,293.73,2.07
237,0,65,-0.92,padang,300.95,0.76
238,2,88,-17.73,caravelas,294.24,1.04
239,0,100,45.6,souillac,274.36,1.5
240,0,87,41.31,mindelo,278.67,2.1
241,50,39,32.46,kundian,280.9,0.83
242,33,76,16.48,macherla,294.63,2.08
243,90,85,60.55,kenai,269.64,10.3
244,100,83,-3.99,kendari,301.3,1.46
245,90,78,38.61,lyndon,273.47,8.7
246,100,91,1.74,sibolga,298.72,1.19
247,0,34,33.13,truth or consequences,274.63,6.2
248,0,29,-29.46,moree,304.15,5.7
249,0,81,37.25,gonbad-e qabus,283.15,1.0
250,100,99,-9.54,malanje,290.5,1.43
251,97,61,-2.54,labuhan,304.45,1.51
252,16,52,9.43,forecariah,295.05,1.55
253,67,74,-34.61,buenos aires,297.43,2.1
254,30,35,-20.07,charters towers,305.82,4.62
255,100,95,-10.43,jaru,295.75,0.9
256,100,81,62.91,bud,281.51,12.9
257,61,72,69.22,ilulissat,265.15,5.7
258,75,80,38.27,sendai,274.27,1.5
259,40,85,53.65,mackay,267.65,1.92
260,67,72,26.54,marsh harbour,297.15,5.89
261,20,74,-6.97,cabedelo,300.15,4.1
262,70,76,28.45,shangrao,288.14,0.93
263,100,98,-0.97,barcelos,296.88,1.05
264,40,100,22.81,sagua la grande,296.15,2.1
265,75,79,-7.6,itaueira,296.86,1.19
266,23,86,13.13,puro,299.09,5.73
267,100,100,62.49,timra,275.63,1.0
268,0,86,45.34,vukovar,271.66,3.1
269,31,16,36.44,liaocheng,272.25,7.83
270,90,92,45.55,rockland,271.59,5.1
271,76,72,-0.87,manokwari,298.82,1.6
272,77,33,-42.77,puerto madryn,296.01,12.22
273,40,74,64.73,anadyr,241.33,6.0
274,97,75,2.67,kudahuvadhoo,301.5,7.55
275,53,67,-7.86,sao jose do belmonte,297.07,7.28
276,90,75,52.96,den helder,277.74,7.2
277,0,39,31.34,zhob,277.03,1.03
278,75,93,33.72,shingu,287.15,5.7
279,3,21,11.04,am timan,290.04,1.55
280,20,80,45.05,beloye,277.2,5.0
281,0,72,63.44,vestmannaeyjar,278.08,8.08
282,100,75,-5.09,paita,296.59,4.62
283,100,63,59.56,magadan,261.82,6.4
284,75,100,24.8,hirara,292.66,6.2
285,0,89,-30.17,cidreira,297.09,10.39
286,36,83,-31.33,elliot,286.75,2.7
287,40,76,31.35,marsa matruh,282.15,6.2
288,1,87,36.55,kingsport,291.11,4.44
289,40,76,69.49,talnakh,249.15,10.0
290,100,95,40.15,canakkale,274.71,10.21
291,20,93,33.08,camacha,290.74,2.1
292,100,82,54.83,shumskiy,253.93,1.09
293,0,70,8.0,marawi,300.93,2.68
294,90,69,38.9,russell,273.81,10.8
295,1,43,36.68,guymon,272.91,4.1
296,99,98,-11.73,mwinilunga,290.35,1.17
297,20,74,-10.16,kupang,302.15,1.5
298,71,97,62.65,khandyga,233.54,0.85
299,100,94,-3.48,matara,288.27,0.27
300,67,95,-34.48,rocha,291.79,2.2
301,20,76,-16.39,miraflores,287.15,1.5
302,63,84,-15.9,pombas,295.54,1.58
303,75,92,55.1,la ronge,266.15,2.1
304,0,86,11.47,qandala,296.75,1.74
305,86,95,54.21,odesskoye,256.75,3.1
306,75,68,68.22,aklavik,246.15,3.1
307,14,100,45.16,mantua,273.5,1.5
308,100,72,-2.67,vanimo,301.69,4.13
309,6,93,58.45,yeniseysk,244.37,1.15
310,1,87,-20.74,karratha,302.27,4.63
311,0,59,41.89,roma,275.52,2.6
312,3,86,63.84,grindavik,274.68,3.6
313,88,68,43.32,nemuro,270.15,4.6
314,100,95,-20.04,camiri,293.39,0.43
315,84,78,43.65,erenhot,253.33,5.24
316,0,73,36.21,neyshabur,275.09,1.34
317,90,81,43.16,pitsunda,280.99,1.0
318,70,22,9.92,jos,285.94,1.06
319,90,100,36.34,martin,283.99,2.6
320,0,60,27.03,sabha,278.59,3.6
321,14,83,16.52,sayaxche,297.8,0.58
322,100,97,-3.28,uyovu,290.26,0.31
323,5,69,-3.66,namatanai,303.1,3.61
324,2,90,39.51,balkanabat,277.75,1.5
325,96,76,45.32,beyneu,272.19,1.24
326,97,79,71.03,mehamn,271.19,5.29
327,20,78,10.28,san fernando,298.12,4.09
328,33,74,55.93,esso,255.66,0.9
329,0,94,0.56,makokou,294.04,1.05
330,96,67,60.14,nanortalik,270.46,4.12
331,56,71,-3.54,majene,302.52,2.16
332,0,50,11.28,bubaque,299.78,5.53
333,20,58,21.32,ewa beach,299.92,5.7
334,100,94,43.74,goderich,275.79,1.34
335,100,65,-24.14,aranos,297.22,1.83
336,0,84,4.92,yenagoa,296.2,0.85
337,67,69,-43.3,rawson,290.69,1.25
338,90,70,36.58,yamada,281.98,7.7
339,41,67,-8.15,buala,302.2,2.82
340,42,50,18.42,narasannapeta,293.03,2.27
341,0,25,13.98,goure,290.93,3.58
342,4,41,3.38,adjumani,294.66,0.93
343,36,70,16.98,ratnagiri,297.43,0.29
344,100,91,66.82,kharp,257.43,2.97
345,84,98,61.68,baykit,242.7,1.07
346,100,80,-10.41,piacabucu,298.77,3.34
347,90,81,37.5,murgab,279.15,3.32
348,1,45,33.41,apache junction,280.65,1.61
349,89,94,52.38,klimovo,268.73,3.03
350,0,72,36.2,mitu,271.24,1.25
351,20,62,-9.47,port moresby,305.15,5.1
352,0,25,8.36,dabakala,295.63,2.07
353,0,93,25.97,marhaura,281.15,2.1
354,93,77,36.13,algeciras,287.65,6.7
355,20,100,22.99,mariel,293.91,0.5
356,20,78,-8.83,luanda,301.15,2.1
357,7,67,-35.17,ahipara,300.93,1.34
358,16,97,62.1,berdigestyakh,237.81,1.76
359,90,100,43.26,hamilton,274.77,11.3
360,100,97,5.53,caceres,294.27,1.17
361,4,100,68.75,cherskiy,235.95,1.53
362,88,80,-4.97,micheweni,301.32,6.37
363,100,79,5.1,eydhafushi,300.81,8.59
364,0,37,24.62,bijawar,283.51,1.23
365,90,87,33.32,hirado,287.07,2.1
366,63,54,22.34,lalmohan,292.29,2.29
367,100,74,59.58,ola,258.92,3.4
368,0,88,63.05,beringovskiy,250.19,10.16
369,72,70,-46.28,kaitangata,287.59,5.36
370,93,85,60.72,qaqortoq,269.15,1.5
371,15,68,-2.02,lorengau,302.22,2.33
372,90,93,44.25,cadillac,277.13,2.6
373,90,77,64.84,fairbanks,255.06,1.94
374,90,68,44.06,rapid valley,269.46,14.9
375,40,85,47.72,sidney,264.53,4.1
376,100,97,-3.0,paragominas,296.42,1.4
377,14,88,51.93,durban,260.62,0.58
378,20,69,9.96,ranong,301.15,1.0
379,90,100,40.6,fortuna,282.15,1.06
380,90,48,-22.28,noumea,302.03,11.3
381,0,93,67.46,srednekolymsk,236.43,0.92
382,90,96,-3.47,ushirombo,290.24,0.13
383,90,79,51.26,moose factory,266.15,4.6
384,90,100,22.76,taitung,294.15,1.5
385,100,93,61.6,floro,281.28,11.3
386,0,63,28.75,darab,281.27,0.11
387,40,42,-25.3,hervey bay,302.84,6.7
388,91,51,-28.65,byron bay,300.88,6.7
389,48,33,-26.57,keetmanshoop,297.15,3.1
390,1,30,31.37,praxedis guerrero,277.84,4.6
391,75,75,60.82,hay river,247.15,3.68
392,0,43,28.9,dalbandin,282.76,1.68
393,0,80,4.75,san-pedro,300.93,3.8
394,100,56,42.65,zarubino,272.64,9.28
395,88,88,-24.76,pitanga,292.76,1.66
396,100,82,60.67,gavle,280.37,3.13
397,85,92,14.68,san cristobal,291.4,1.43
398,8,81,66.94,sisimiut,258.56,3.64
399,78,88,4.94,cayenne,299.15,5.1
400,90,84,46.42,saint-francois,273.96,3.1
401,85,81,60.53,geilo,276.87,1.79
402,90,74,66.42,udachnyy,242.15,2.0
403,100,87,60.45,hede,279.65,6.2
404,97,79,-1.2,carutapera,301.02,7.09
405,1,78,52.41,wilkie,265.26,4.1
406,90,87,38.08,ryotsu,280.15,1.0
407,20,82,0.21,kajansi,293.15,1.0
408,0,52,14.76,tha chang,299.76,4.88
409,94,90,48.25,bila,271.48,3.3
410,5,38,-35.36,ulladulla,303.46,3.1
411,64,62,-25.17,beloha,299.1,4.6
412,92,63,-32.7,young,302.04,3.7
413,33,38,-34.67,kiama,299.28,3.1
414,0,39,-20.77,roebourne,310.45,4.11
415,93,86,-9.31,minador do negrao,294.64,2.29
416,75,100,-3.77,puerto narino,297.15,1.0
417,98,61,19.1,sawakin,297.41,4.84
418,78,75,-20.59,okakarara,294.36,1.47
419,40,66,-16.07,norsup,303.15,3.1
420,20,73,34.69,tafresh,272.26,0.73
421,0,93,15.57,lanquin,291.14,1.46
422,100,84,54.72,chumikan,250.18,2.88
423,75,93,43.56,saint-joseph,277.11,2.1
424,0,88,59.33,mortka,252.81,2.11
425,20,77,-23.65,antofagasta,292.15,3.6
426,0,84,46.68,baruun-urt,248.3,4.75
427,40,51,-27.58,victoria point,301.73,4.6
428,100,92,45.12,qianguo,252.09,2.89
429,13,93,-23.35,vangaindrano,296.41,0.84
430,2,62,42.87,le port,274.57,1.39
431,15,91,-25.41,taltal,286.97,0.17
432,100,96,-7.01,mwene-ditu,291.1,0.99
433,0,23,22.68,taoudenni,287.89,5.2
434,24,60,27.87,adrar,283.15,5.1
435,40,78,11.67,port blair,300.15,3.6
436,1,62,48.06,dalhousie,268.15,3.1
437,28,56,3.94,mandera,299.93,3.13
438,1,64,48.95,saint-pierre,270.98,3.1
439,91,36,-45.58,coihaique,291.15,3.6
440,100,63,-32.48,concepcion del uruguay,302.04,5.53
441,0,62,25.02,umm lajj,284.73,1.57
442,0,25,15.46,abalak,287.57,5.12
443,0,13,-37.84,olinda,310.19,11.8
444,20,85,55.76,dawson creek,269.15,2.1
445,0,86,50.36,krasnyy chikoy,243.14,0.95
446,99,92,66.32,egvekinot,245.45,4.25
447,0,45,2.34,marsabit,297.82,6.92
448,0,62,10.95,boke,293.05,1.36
449,0,60,27.8,khuzdar,278.48,1.84
450,40,76,69.35,kayerkan,249.15,10.0
451,90,97,44.31,new ulm,273.27,5.7
452,0,86,31.68,turayf,277.15,3.1
453,92,25,14.1,kaffrine,298.15,2.1
454,75,62,2.82,boa vista,302.15,4.6
455,100,96,9.24,magangue,298.12,1.16
456,100,97,-1.71,jutai,296.93,0.89
457,100,90,59.1,vao,276.89,7.07
458,63,83,-21.48,jardim,297.51,1.25
459,90,100,28.58,dwarka,278.15,0.66
460,3,52,41.42,saldanha,277.97,0.78
461,27,14,34.16,leh,257.13,1.08
462,0,80,18.56,moron,297.57,1.96
463,40,70,-17.83,teahupoo,303.15,8.7
464,52,71,42.97,iwanai,276.1,4.85
465,100,72,-38.72,bahia blanca,298.22,6.16
466,100,93,66.15,pangnirtung,254.61,1.12
467,0,86,53.85,svobodnyy,266.6,2.86
468,100,95,-9.35,nchelenge,293.44,1.75
469,100,100,68.06,bilibino,237.76,0.57
470,100,86,56.08,chunskiy,250.43,0.49
471,0,65,25.91,dimapur,289.27,0.94
472,88,78,10.99,puerto colombia,301.15,7.2
473,100,77,5.77,manadhoo,301.13,7.41
474,100,80,63.86,vuktyl,258.02,7.68
475,86,84,45.97,bolshaya dzhalga,272.27,4.24
476,0,49,26.51,sabinas hidalgo,286.48,1.48
477,75,88,20.96,banes,298.15,5.1
478,90,100,43.37,coos bay,281.78,2.6
479,66,96,-0.81,lastoursville,294.29,0.23
480,33,38,-34.58,flinders,299.27,3.1
481,22,87,15.39,san gaspar ixchil,282.56,0.35
482,1,87,54.32,prince rupert,279.15,3.6
483,38,69,9.35,jijiga,285.28,3.62
484,100,90,-44.53,saint andrews,291.99,3.13
485,100,82,-0.7,chone,296.34,2.19
486,20,69,52.03,monster,276.75,4.6
487,48,70,50.6,kungurtug,250.82,0.7
488,20,93,52.93,rathdrum,281.19,2.1
489,20,71,31.4,rosetta,286.15,5.1
490,100,84,20.87,celestun,297.47,4.99
491,99,87,-5.56,sechura,294.95,3.75
492,83,86,13.08,tuy hoa,297.68,7.97
493,0,99,59.06,kargasok,246.68,1.49
494,98,69,10.57,kavaratti,301.28,1.3
495,69,93,-15.31,ceres,293.73,1.31
496,0,79,58.11,lysva,252.54,0.25
497,99,89,-14.8,nova olimpia,296.46,1.04
